,mean_value,execution_counts,type,function
0,98793879.25374083,28,execution_times,writer
1,101027898.27093782,38,execution_times,writer
2,95226114.93889187,39,execution_times,writer
3,105288311.70185068,38,execution_times,writer
4,128740789.62428956,37,execution_times,writer
5,170844532.23676607,20,execution_times,writer
6,279091980.0547682,26,execution_times,distributor
7,294455880.0227337,38,execution_times,distributor
8,261345594.88876364,40,execution_times,distributor
9,305499838.3495036,38,execution_times,distributor
10,304899152.0953077,38,execution_times,distributor
11,389558016.8365733,20,execution_times,distributor
12,131244032.0,1,user_memory_bytes,writer
13,130740224.0,1,user_memory_bytes,writer
14,130834432.0,1,user_memory_bytes,writer
15,130805760.0,1,user_memory_bytes,writer
16,130707456.0,1,user_memory_bytes,writer
17,0.0,0,user_memory_bytes,writer
18,127619071.99999994,1,user_memory_bytes,distributor
19,127602011.72481923,1,user_memory_bytes,distributor
20,127100431.98308192,1,user_memory_bytes,distributor
21,126655958.66501945,1,user_memory_bytes,distributor
22,126279080.3242507,1,user_memory_bytes,distributor
23,0.0,0,user_memory_bytes,distributor
24,0.0,0,network_egress,writer
25,0.0,0,network_egress,writer
26,0.0,0,network_egress,writer
27,0.0,0,network_egress,writer
28,0.0,0,network_egress,writer
29,0.0,0,network_egress,writer
30,0.0,0,network_egress,distributor
31,0.0,0,network_egress,distributor
32,0.0,0,network_egress,distributor
33,0.0,0,network_egress,distributor
34,0.0,0,network_egress,distributor
35,0.0,0,network_egress,distributor
