,mean_value,execution_counts,type,function
0,104011672.42128073,36,execution_times,writer
1,108598073.31306335,37,execution_times,writer
2,122000207.09758548,37,execution_times,writer
3,109790056.80186383,36,execution_times,writer
4,132237624.69518209,36,execution_times,writer
5,154140211.2812709,18,execution_times,writer
6,296723308.7274597,32,execution_times,distributor
7,282576357.2493594,37,execution_times,distributor
8,297513755.1664476,36,execution_times,distributor
9,314077426.2946785,36,execution_times,distributor
10,325744747.7911806,36,execution_times,distributor
11,404139225.48869216,23,execution_times,distributor
12,137523200.0,1,user_memory_bytes,writer
13,137359360.0,1,user_memory_bytes,writer
14,138645504.0,1,user_memory_bytes,writer
15,138457088.0,1,user_memory_bytes,writer
16,138448896.0,1,user_memory_bytes,writer
17,137728000.0,1,user_memory_bytes,writer
18,113598464.0,1,user_memory_bytes,writer
19,134756040.61308673,1,user_memory_bytes,distributor
20,135721559.35226098,1,user_memory_bytes,distributor
21,135357883.1284998,1,user_memory_bytes,distributor
22,135029539.72013465,1,user_memory_bytes,distributor
23,134857086.7781964,1,user_memory_bytes,distributor
24,134664905.92896312,1,user_memory_bytes,distributor
25,119601872.79039624,2,user_memory_bytes,distributor
26,0.0,0,network_egress,writer
27,0.0,0,network_egress,writer
28,0.0,0,network_egress,writer
29,0.0,0,network_egress,writer
30,0.0,0,network_egress,writer
31,0.0,0,network_egress,writer
32,0.0,0,network_egress,distributor
33,0.0,0,network_egress,distributor
34,0.0,0,network_egress,distributor
35,0.0,0,network_egress,distributor
36,0.0,0,network_egress,distributor
37,0.0,0,network_egress,distributor
