,mean_value,execution_counts,type,function
0,100313279.58244509,21,execution_times,writer
1,103341439.8984261,38,execution_times,writer
2,106514897.47536692,37,execution_times,writer
3,107398899.4072468,37,execution_times,writer
4,120769271.85657908,37,execution_times,writer
5,158866392.3356684,29,execution_times,writer
6,280741397.4627332,20,execution_times,distributor
7,287903530.02264047,37,execution_times,distributor
8,287440667.6308287,37,execution_times,distributor
9,303904218.2806987,37,execution_times,distributor
10,302038309.59240866,37,execution_times,distributor
11,386170214.1302265,29,execution_times,distributor
12,132413831.86117212,1,user_memory_bytes,writer
13,133381693.49070969,1,user_memory_bytes,writer
14,133466503.83055593,1,user_memory_bytes,writer
15,132235507.17465216,1,user_memory_bytes,writer
16,131989415.26526527,1,user_memory_bytes,writer
17,0.0,0,user_memory_bytes,writer
18,139332886.38554645,1,user_memory_bytes,distributor
19,138747657.991111,1,user_memory_bytes,distributor
20,138555313.7351823,1,user_memory_bytes,distributor
21,138493706.86150482,1,user_memory_bytes,distributor
22,138298946.7610709,1,user_memory_bytes,distributor
23,136343552.00000003,1,user_memory_bytes,distributor
24,0.0,0,network_egress,writer
25,0.0,0,network_egress,writer
26,0.0,0,network_egress,writer
27,0.0,0,network_egress,writer
28,0.0,0,network_egress,writer
29,0.0,0,network_egress,writer
30,0.0,0,network_egress,distributor
31,0.0,0,network_egress,distributor
32,0.0,0,network_egress,distributor
33,0.0,0,network_egress,distributor
34,0.0,0,network_egress,distributor
35,0.0,0,network_egress,distributor
